understat_shot_id,understat_match_id,understat_player_id,player_name,minute,x,y,xg,result,shot_type,situation,side,season
637584,29538,11782,Mousa Al Tamari,16,0.9330000305175781,0.285,0.2090759128332138,SavedShot,RightFoot,OpenPlay,h,2025
637586,29538,11782,Mousa Al Tamari,19,0.705,0.20700000762939452,0.013365042395889759,BlockedShot,LeftFoot,OpenPlay,h,2025
637591,29538,11782,Mousa Al Tamari,41,0.8619999694824219,0.4909999847412109,0.0780113935470581,SavedShot,LeftFoot,OpenPlay,h,2025
637592,29538,3673,Valentin Rongier,41,0.7569999694824219,0.4540000152587891,0.017566252499818802,SavedShot,RightFoot,OpenPlay,h,2025
637593,29538,12038,Fabian Rieder,43,0.7609999847412109,0.22700000762939454,0.014277187176048756,MissedShots,LeftFoot,OpenPlay,h,2025
637596,29538,11782,Mousa Al Tamari,48,0.8580000305175781,0.35700000762939454,0.08073735237121582,BlockedShot,LeftFoot,OpenPlay,h,2025
637602,29538,11782,Mousa Al Tamari,60,0.889000015258789,0.33299999237060546,0.06568475067615509,SavedShot,RightFoot,OpenPlay,h,2025
637607,29538,11782,Mousa Al Tamari,76,0.835999984741211,0.5970000076293945,0.10038633644580841,BlockedShot,LeftFoot,OpenPlay,h,2025
637608,29538,9399,Quentin Merlin,76,0.7609999847412109,0.6759999847412109,0.019013211131095886,BlockedShot,LeftFoot,OpenPlay,h,2025
637615,29538,11371,Ibrahim Salah,87,0.915,0.7030000305175781,0.0487111434340477,BlockedShot,RightFoot,OpenPlay,h,2025
637616,29538,3475,Ludovic Blas,90,0.8530000305175781,0.5229999923706055,0.3322351574897766,Goal,LeftFoot,OpenPlay,h,2025
637617,29538,12159,Mahamadou Nagida,96,0.91,0.34299999237060547,0.3364914059638977,MissedShots,RightFoot,OpenPlay,h,2025
637582,29538,6401,Amine Gouiri,8,0.88,0.44599998474121094,0.07440869510173798,BlockedShot,RightFoot,OpenPlay,a,2025
637583,29538,7490,Mason Greenwood,12,0.7709999847412109,0.44599998474121094,0.03259820491075516,MissedShots,LeftFoot,OpenPlay,a,2025
637585,29538,6401,Amine Gouiri,17,0.7780000305175782,0.505,0.09301981329917908,BlockedShot,RightFoot,OpenPlay,a,2025
637587,29538,7490,Mason Greenwood,37,0.7880000305175782,0.6759999847412109,0.0213609728962183,BlockedShot,RightFoot,SetPiece,a,2025
637588,29538,10172,Jonathan Rowe,38,0.8630000305175781,0.37599998474121094,0.09195589274168015,BlockedShot,LeftFoot,OpenPlay,a,2025
637589,29538,343,Pierre-Emile Højbjerg,38,0.98,0.41900001525878905,0.2754323482513428,MissedShots,RightFoot,FromCorner,a,2025
637590,29538,7490,Mason Greenwood,40,0.7630000305175781,0.415,0.02602398581802845,MissedShots,LeftFoot,OpenPlay,a,2025
637594,29538,10172,Jonathan Rowe,45,0.9169999694824219,0.685,0.21259084343910217,MissedShots,Head,OpenPlay,a,2025
637595,29538,3291,Adrien Rabiot,50,0.7709999847412109,0.5559999847412109,0.02854899689555168,ShotOnPost,LeftFoot,OpenPlay,a,2025
637597,29538,10172,Jonathan Rowe,51,0.740999984741211,0.7380000305175781,0.018095102161169052,MissedShots,RightFoot,OpenPlay,a,2025
637598,29538,10172,Jonathan Rowe,53,0.8680000305175781,0.590999984741211,0.07002494484186172,MissedShots,RightFoot,OpenPlay,a,2025
637599,29538,7486,Leonardo Balerdi,54,0.9480000305175781,0.49900001525878906,0.08323897421360016,BlockedShot,Head,FromCorner,a,2025
637600,29538,12111,Amir Murillo,57,0.899000015258789,0.5629999923706055,0.03249221295118332,ShotOnPost,Head,OpenPlay,a,2025
637601,29538,10172,Jonathan Rowe,59,0.98,0.5940000152587891,0.02794024907052517,MissedShots,Head,SetPiece,a,2025
637603,29538,343,Pierre-Emile Højbjerg,62,0.914000015258789,0.4640000152587891,0.05716926231980324,MissedShots,Head,OpenPlay,a,2025
637604,29538,7486,Leonardo Balerdi,65,0.9590000152587891,0.5370000076293945,0.5859361886978149,SavedShot,RightFoot,FromCorner,a,2025
637605,29538,6401,Amine Gouiri,68,0.865,0.8030000305175782,0.022977588698267937,SavedShot,RightFoot,OpenPlay,a,2025
637606,29538,7490,Mason Greenwood,74,0.860999984741211,0.3290000152587891,0.051828838884830475,BlockedShot,LeftFoot,OpenPlay,a,2025
637609,29538,5598,Angel Gomes,79,0.76,0.4620000076293945,0.02501392737030983,MissedShots,RightFoot,OpenPlay,a,2025
637610,29538,6601,Timothy Weah,81,0.7519999694824219,0.36,0.0210306067019701,BlockedShot,RightFoot,OpenPlay,a,2025
637611,29538,7490,Mason Greenwood,81,0.8490000152587891,0.305,0.03698375076055527,BlockedShot,LeftFoot,OpenPlay,a,2025
637612,29538,7486,Leonardo Balerdi,82,0.9180000305175782,0.5420000076293945,0.08698439598083496,MissedShots,RightFoot,FromCorner,a,2025
637613,29538,7490,Mason Greenwood,82,0.8859999847412109,0.6270000076293946,0.0674397423863411,BlockedShot,RightFoot,FromCorner,a,2025
637614,29538,343,Pierre-Emile Højbjerg,82,0.9069999694824219,0.4159999847412109,0.03575232997536659,MissedShots,OtherBodyPart,FromCorner,a,2025
637760,29539,13506,Rayan Fofana,2,0.894000015258789,0.725999984741211,0.03196039795875549,BlockedShot,RightFoot,OpenPlay,h,2025
637761,29539,5648,Malang Sarr,2,0.9019999694824219,0.4809999847412109,0.023808639496564865,MissedShots,Head,FromCorner,h,2025
637762,29539,3549,Adrien Thomasson,4,0.855999984741211,0.8569999694824219,0.043201081454753876,SavedShot,RightFoot,DirectFreekick,h,2025
637763,29539,6006,Ruben Aguilar,4,0.78,0.28700000762939454,0.013498863205313683,MissedShots,RightFoot,SetPiece,h,2025
637769,29539,3549,Adrien Thomasson,20,0.76,0.33599998474121096,0.018092453479766846,BlockedShot,LeftFoot,OpenPlay,h,2025
637770,29539,9632,Deiver Machado,20,0.879000015258789,0.7080000305175781,0.04270951822400093,MissedShots,LeftFoot,OpenPlay,h,2025
637771,29539,13506,Rayan Fofana,24,0.855,0.655,0.0538780614733696,MissedShots,RightFoot,OpenPlay,h,2025
637772,29539,3799,Wesley Said,39,0.955999984741211,0.255,0.4816661775112152,BlockedShot,RightFoot,OpenPlay,h,2025
637774,29539,3799,Wesley Said,40,0.9109999847412109,0.4640000152587891,0.1002962738275528,SavedShot,RightFoot,OpenPlay,h,2025
637775,29539,9632,Deiver Machado,43,0.93,0.4540000152587891,0.3739977777004242,MissedShots,Head,OpenPlay,h,2025
637777,29539,9632,Deiver Machado,48,0.7709999847412109,0.6509999847412109,0.023125605657696724,SavedShot,LeftFoot,OpenPlay,h,2025
637781,29539,9523,Andy Diouf,55,0.924000015258789,0.3820000076293945,0.06983733922243118,SavedShot,LeftFoot,OpenPlay,h,2025
637782,29539,9632,Deiver Machado,56,0.7619999694824219,0.3659999847412109,0.024324670433998108,MissedShots,LeftFoot,FromCorner,h,2025
637783,29539,3799,Wesley Said,57,0.8480000305175781,0.42700000762939455,0.06938132643699646,MissedShots,RightFoot,OpenPlay,h,2025
637784,29539,3799,Wesley Said,64,0.87,0.5029999923706054,0.3828602135181427,MissedShots,LeftFoot,OpenPlay,h,2025
637786,29539,9523,Andy Diouf,76,0.794000015258789,0.5520000076293945,0.04240836575627327,MissedShots,LeftFoot,OpenPlay,h,2025
637787,29539,9523,Andy Diouf,79,0.8590000152587891,0.639000015258789,0.06333842873573303,BlockedShot,LeftFoot,OpenPlay,h,2025
637788,29539,11762,Morgan Guilavogui,85,0.7530000305175781,0.6940000152587891,0.016666576266288757,BlockedShot,RightFoot,OpenPlay,h,2025
637764,29539,8187,Georges Mikautadze,10,0.92,0.654000015258789,0.08634994179010391,BlockedShot,LeftFoot,OpenPlay,a,2025
637765,29539,8187,Georges Mikautadze,12,0.889000015258789,0.37400001525878906,0.1367970108985901,MissedShots,RightFoot,OpenPlay,a,2025
637766,29539,3603,Corentin Tolisso,13,0.9,0.654000015258789,0.06926123797893524,SavedShot,RightFoot,OpenPlay,a,2025
