understat_player_id,player_name
76,Fabian Schär
87,Joelinton
181,Bernd Leno
204,Granit Xhaka
239,Pascal Groß
468,Callum Wilson
489,James Milner
500,Alex Iwobi
501,Danny Welbeck
579,Nathan Aké
592,Ross Barkley
603,Nathaniel Clyne
605,Jordan Henderson
638,Kyle Walker
652,Kieran Trippier
660,Ben Davies
668,Idrissa Gueye
675,Jack Grealish
695,Bertrand Traoré
702,Tammy Abraham
725,Ola Aina
766,Jamaal Lascelles
780,Karl Darlow
833,Virgil van Dijk
843,James Ward-Prowse
885,Kyle Walker-Peters
900,Adama Traoré
910,Harrison Reed
925,Patrick Roberts
934,Axel Tuanzebe
978,Sam Johnstone
987,Joseph Gomez
1006,Luke Shaw
1018,Josh Cullen
1024,Tyrone Mings
1228,Bruno Fernandes
1250,Mohamed Salah
1433,Federico Chiesa
1537,Sasa Lukic
1653,Michael Keane
1665,James Tarkowski
1679,Dominic Solanke
1687,Harry Maguire
1688,Andrew Robertson
1760,Arthur Masuaku
1776,Jarrod Bowen
1789,Lewis Cook
1823,Lucas Digne
2182,Jefferson Lerma
2203,Emiliano Buendía
2248,Casemiro
2254,Mateo Kovacic
2496,Rodri
2517,Martin Odegaard
2958,Oleksandr Zinchenko
3203,Issa Diop
3635,Bernardo Silva
3645,Olivier Boscagli
4105,Raúl Jiménez
4419,Adam Armstrong
4422,Ashley Barnes
4456,Chris Wood
5220,Kai Havertz
5221,Leon Bailey
5232,Alexander Isak
5261,Kevin Danso
5304,Mikel Merino
5355,Jacob Bruun Larsen
5543,Gabriel Jesus
5552,Nick Pope
5553,Declan Rice
5555,Dominic Calvert-Lewin
5590,Tosin Adarabioyo
5595,Daniel James
5596,Harry Wilson
5598,Angel Gomes
5609,Yves Bissouma
5613,Gabriel
5659,Nordi Mukiele
5675,Ismaila Sarr
5722,Ibrahim Sangare
5735,Jean-Philippe Mateta
5743,Randal Kolo Muani
5786,Yoane Wissa
5789,Boubacar Kamara
5956,Youri Tielemans
5973,Kenny Tete
6026,Richarlison
6048,Lewis Dunk
6049,Solly March
6055,Phil Foden
6063,Jacob Murphy
6080,Victor Lindelöf
6098,Niclas Füllkrug
6104,Will Hughes
6108,Rodrigo Bentancur
6122,Douglas Luiz
6145,Daichi Kamada
6157,Timothy Castagne
6174,Nikola Milenkovic
6219,Enes Ünal
6221,Pau Torres
6314,Joachim Andersen
6326,Ibrahima Konaté
6345,Jadon Sancho
6369,Ethan Ampadu
6377,Joe Rodon
6382,Pedro Neto
6456,Callum Hudson-Odoi
6482,Eddie Nketiah
6492,Reiss Nelson
6544,Lukas Nmecha
6552,Bryan Mbeumo
6615,Trevoh Chalobah
6630,Joe Willock
6665,Curtis Jones
6674,Rayan Ait Nouri
6681,Harvey Barnes
6722,Konstantinos Mavropanos
6756,Dwight McNeil
6807,Jaka Bijol
6816,Jean-Clair Todibo
6818,James Maddison
6820,David Brooks
6835,Tom Cairney
6837,Ryan Sessegnon
6852,Matt Doherty
6857,Morgan Gibbs-White
6885,Axel Disasi
6888,William Saliba
6912,Pedro Porro
6935,Naif Aguerd
6937,Georginio Rutter
6963,Justin Kluivert
7075,Borna Sosa
7078,Sean Longstaff
7080,Matheus Cunha
7083,Christian Nørgaard
7134,Marc Cucurella
7148,Wilson Isidor
7166,Mathias Jensen
7208,Samuel Chukwueze
7218,Cristian Romero
7230,Emile Smith-Rowe
7254,Viktor Gyokeres
7268,Bafode Diakite
7281,Diogo Dalot
7298,Ben White
7322,Bukayo Saka
7332,Max Kilman
7352,Tyler Adams
7365,Lucas Paquetá
7382,Dan Burn
7432,Reinildo
7438,James Garner
7498,Lyle Foster
7526,Martín Zubimendi
7546,Harvey Elliott
7589,Wesley Fofana
7603,Marc Guehi
7698,Leandro Trossard
7723,John McGinn
7726,Ezri Konsa Ngoyo
7752,Gabriel Martinelli
7753,James Justin
7762,Jean-Ricner Bellegarde
7768,Mason Mount
7791,Sebastiaan Bornauw
7814,Taiwo Awoniyi
7902,Matthijs de Ligt
7908,Marshall Munetsi
7958,Sandro Tonali
8000,Ilia Gruev
8006,Evann Guessand
8044,Joshua Zirkzee
8056,Arnaud Kalimuendo Muinga
8067,Reece James
8094,Mathis Cherki
8117,Nick Woltemade
8127,Amad Diallo Traore
8129,Riccardo Calafiori
8150,Anthony Gordon
8204,Neco Williams
8211,Amine Adli
8214,Tyrick Mitchell
8252,Nicolás Domínguez
8260,Erling Haaland
8267,Guido Rodríguez
8272,João Pedro
8285,Sander Berge
8288,Tomas Soucek
8327,Bruno Guimarães
8351,Ki-Jana Hoever
8378,Malick Thiaw
8379,Alexis Mac Allister
8384,Armando Broja
8393,Omar Marmoush
8397,Florian Wirtz
8430,Chris Richards
8476,Jarrad Branthwaite
8489,Jorge Cuenca
8497,Cole Palmer
8537,Dennis Cirkin
8635,Sven Botman
8640,Adrien Truffert
8651,Enzo Le Fée
8662,Dan Ndoye
8700,Xavi Simons
8706,Eberechi Eze
8717,Pascal Struijk
8720,Jack Harrison
8780,Joël Veltman
8808,Wataru Endo
8831,Iyenoma Destiny Udogie
8845,Hee-Chan Hwang
8853,Maxence Lacroix
8859,Mikkel Damsgaard
8864,Matthew Cash
8865,Ollie Watkins
8868,Liam Delap
8875,Tolu Arokodare
8920,Dilane Bakwa
8940,Antonee Robinson
8941,Jacob Ramsey
8942,Aaron Hickey
8961,Rúben Dias
8969,Florentino Luís
8981,Jéremy Doku
8986,Omar Alderete
8995,Hugo Ekitike
9017,Malo Gusto
9021,Pape Sarr
9024,Yeremi Pino
9040,Conor Gallagher
9105,Radu Dragusin
9154,Elliot Anderson
9156,Kevin Schade
9205,Jayden Bogle
9307,Iliman Ndiaye
9328,Jeremie Frimpong
9451,Chimuanya Ugochukwu
9453,Moisés Caicedo
9487,Maxime Estève
9492,Crysencio Summerville
9501,Fabio Carvalho
9512,Valentino Livramento
9524,Anthony Elanga
9554,Tim Iroegbunam
9556,William Osula
9558,Hannibal Mejbri
9662,Dango Ouattara
9667,Amadou Onana
9677,Kristoffer Ajer
9678,Ethan Pinnock
9679,Rico Henry
9680,Vitaly Janelt
9733,Nathan Collins
9739,Kiernan Dewsbury-Hall
