understat_shot_id,understat_match_id,understat_player_id,player_name,minute,x,y,xg,result,shot_type,situation,side,season
637500,28778,8995,Hugo Ekitike,2,0.7619999694824219,0.6990000152587891,0.014601008035242558,SavedShot,RightFoot,OpenPlay,h,2025
637501,28778,1250,Mohamed Salah,3,0.855999984741211,0.3129999923706055,0.04265604913234711,SavedShot,LeftFoot,OpenPlay,h,2025
637502,28778,833,Virgil van Dijk,4,0.914000015258789,0.505,0.25797542929649353,MissedShots,Head,FromCorner,h,2025
637505,28778,833,Virgil van Dijk,30,0.9119999694824219,0.5320000076293945,0.0776621475815773,SavedShot,Head,FromCorner,h,2025
637507,28778,8995,Hugo Ekitike,36,0.8909999847412109,0.524000015258789,0.40409132838249207,Goal,RightFoot,OpenPlay,h,2025
637508,28778,8995,Hugo Ekitike,38,0.9419999694824219,0.4829999923706055,0.534849226474762,MissedShots,Head,OpenPlay,h,2025
637511,28778,1250,Mohamed Salah,47,0.85,0.42700000762939455,0.11337560415267944,BlockedShot,LeftFoot,OpenPlay,h,2025
637513,28778,8995,Hugo Ekitike,46,0.960999984741211,0.5209999847412109,0.1347046047449112,MissedShots,OtherBodyPart,FromCorner,h,2025
637514,28778,11296,Cody Gakpo,48,0.850999984741211,0.49200000762939455,0.0957067683339119,Goal,RightFoot,OpenPlay,h,2025
637515,28778,8379,Alexis Mac Allister,51,0.76,0.34799999237060547,0.027150798588991165,SavedShot,RightFoot,OpenPlay,h,2025
637516,28778,9328,Jeremie Frimpong,52,0.754000015258789,0.37200000762939456,0.015647554770112038,BlockedShot,RightFoot,FromCorner,h,2025
637517,28778,9788,Dominik Szoboszlai,53,0.7090000152587891,0.5570000076293945,0.014567305333912373,MissedShots,RightFoot,OpenPlay,h,2025
637518,28778,8397,Florian Wirtz,62,0.84,0.45799999237060546,0.11103862524032593,MissedShots,RightFoot,OpenPlay,h,2025
637520,28778,11296,Cody Gakpo,69,0.8519999694824218,0.7609999847412109,0.03299751132726669,SavedShot,RightFoot,OpenPlay,h,2025
637524,28778,9788,Dominik Szoboszlai,79,0.855,0.4420000076293945,0.09390604496002197,MissedShots,LeftFoot,OpenPlay,h,2025
637525,28778,9788,Dominik Szoboszlai,80,0.865,0.33599998474121096,0.05117299035191536,SavedShot,RightFoot,OpenPlay,h,2025
637526,28778,11296,Cody Gakpo,87,0.909000015258789,0.624000015258789,0.07005230337381363,MissedShots,RightFoot,SetPiece,h,2025
637527,28778,1433,Federico Chiesa,87,0.8980000305175782,0.534000015258789,0.09901324659585953,Goal,RightFoot,OpenPlay,h,2025
637528,28778,1250,Mohamed Salah,93,0.899000015258789,0.6129999923706054,0.13890482485294342,Goal,RightFoot,OpenPlay,h,2025
637503,28778,11363,Antoine Semenyo,5,0.9080000305175782,0.44400001525878907,0.3169209659099579,MissedShots,RightFoot,OpenPlay,a,2025
637504,28778,12963,Evanilson,9,0.9490000152587891,0.4109999847412109,0.071727454662323,MissedShots,Head,FromCorner,a,2025
637506,28778,10741,Marcus Tavernier,34,0.87,0.5209999847412109,0.35100075602531433,SavedShot,RightFoot,OpenPlay,a,2025
637509,28778,6820,David Brooks,41,0.855,0.685,0.038630276918411255,BlockedShot,RightFoot,OpenPlay,a,2025
637510,28778,10741,Marcus Tavernier,46,0.75,0.315,0.045542508363723755,BlockedShot,LeftFoot,DirectFreekick,a,2025
637512,28778,12963,Evanilson,48,0.8769999694824219,0.6559999847412109,0.09731415659189224,MissedShots,LeftFoot,OpenPlay,a,2025
637519,28778,11363,Antoine Semenyo,63,0.9080000305175782,0.5129999923706055,0.42599424719810486,Goal,LeftFoot,OpenPlay,a,2025
637521,28778,6820,David Brooks,70,0.8959999847412109,0.63,0.07709097117185593,BlockedShot,LeftFoot,OpenPlay,a,2025
637522,28778,12963,Evanilson,70,0.9119999694824219,0.595,0.05321967601776123,MissedShots,Head,OpenPlay,a,2025
637523,28778,11363,Antoine Semenyo,75,0.825,0.4829999923706055,0.09559009969234467,Goal,LeftFoot,OpenPlay,a,2025
637626,28779,5789,Boubacar Kamara,46,0.9009999847412109,0.47299999237060547,0.17516101896762848,SavedShot,Head,FromCorner,h,2025
637627,28779,8865,Ollie Watkins,64,0.8469999694824218,0.41700000762939454,0.0799555703997612,SavedShot,LeftFoot,OpenPlay,h,2025
637632,28779,9749,Donyell Malen,86,0.894000015258789,0.265,0.06348427385091782,SavedShot,RightFoot,OpenPlay,h,2025
637618,28779,9524,Anthony Elanga,2,0.8680000305175781,0.4329999923706055,0.5098440051078796,SavedShot,RightFoot,OpenPlay,a,2025
637619,28779,8150,Anthony Gordon,2,0.8469999694824218,0.6480000305175782,0.053771644830703735,BlockedShot,RightFoot,OpenPlay,a,2025
637620,28779,8150,Anthony Gordon,7,0.8480000305175781,0.6170000076293946,0.020615313202142715,BlockedShot,RightFoot,SetPiece,a,2025
637621,28779,8150,Anthony Gordon,10,0.93,0.47,0.4054856300354004,MissedShots,Head,OpenPlay,a,2025
637622,28779,9524,Anthony Elanga,12,0.9119999694824219,0.36200000762939455,0.05925820395350456,MissedShots,RightFoot,OpenPlay,a,2025
637623,28779,8150,Anthony Gordon,15,0.784000015258789,0.6129999923706054,0.023262882605195045,SavedShot,RightFoot,SetPiece,a,2025
637624,28779,8150,Anthony Gordon,26,0.8490000152587891,0.6509999847412109,0.07491640001535416,BlockedShot,RightFoot,OpenPlay,a,2025
637625,28779,76,Fabian Schär,27,0.7380000305175781,0.34599998474121096,0.014461319893598557,MissedShots,RightFoot,OpenPlay,a,2025
637628,28779,76,Fabian Schär,67,0.7630000305175781,0.455,0.02261822111904621,MissedShots,RightFoot,SetPiece,a,2025
637629,28779,8150,Anthony Gordon,71,0.6769999694824219,0.5929999923706055,0.015197288244962692,BlockedShot,RightFoot,FromCorner,a,2025
637630,28779,6681,Harvey Barnes,72,0.8980000305175782,0.6090000152587891,0.07132836431264877,BlockedShot,RightFoot,OpenPlay,a,2025
637631,28779,6681,Harvey Barnes,76,0.8019999694824219,0.46900001525878904,0.04700176417827606,BlockedShot,RightFoot,OpenPlay,a,2025
637633,28779,6681,Harvey Barnes,87,0.825,0.685,0.02660728245973587,MissedShots,RightFoot,OpenPlay,a,2025
637634,28779,8150,Anthony Gordon,90,0.685,0.5109999847412109,0.010546272620558739,SavedShot,RightFoot,OpenPlay,a,2025
637635,28779,9556,William Osula,93,0.835999984741211,0.31799999237060544,0.040263328701257706,BlockedShot,LeftFoot,OpenPlay,a,2025
637636,28779,76,Fabian Schär,96,0.355,0.3089999961853027,0.005802980158478022,MissedShots,RightFoot,OpenPlay,a,2025
638424,28780,10527,Carlos Baleba,13,0.74,0.4640000152587891,0.019268060103058815,MissedShots,RightFoot,OpenPlay,h,2025
638425,28780,6937,Georginio Rutter,25,0.75,0.6320000076293946,0.022232800722122192,SavedShot,RightFoot,OpenPlay,h,2025
638426,28780,10806,Kaoru Mitoma,27,0.9330000305175781,0.5970000076293945,0.08075278252363205,MissedShots,Head,OpenPlay,h,2025
638427,28780,6937,Georginio Rutter,37,0.7959999847412109,0.4490000152587891,0.033206358551979065,BlockedShot,LeftFoot,OpenPlay,h,2025
638428,28780,12758,Mats Wieffer,42,0.89,0.4229999923706055,0.013008378446102142,SavedShot,Head,SetPiece,h,2025
638432,28780,13206,Matt O&#039;Riley,54,0.885,0.5,0.7611688375473022,Goal,LeftFoot,Penalty,h,2025
638434,28780,12759,Yankuba Minteh,64,0.8969999694824219,0.40200000762939453,0.1413981318473816,MissedShots,LeftFoot,OpenPlay,h,2025
638435,28780,13364,Diego Gómez,75,0.749000015258789,0.46,0.02465054765343666,SavedShot,RightFoot,OpenPlay,h,2025
638436,28780,6048,Lewis Dunk,86,0.9619999694824218,0.5870000076293945,0.030780566856265068,MissedShots,Head,FromCorner,h,2025
638437,28780,11310,Brajan Gruda,88,0.919000015258789,0.3609999847412109,0.3136118948459625,MissedShots,RightFoot,OpenPlay,h,2025
638423,28780,4105,Raúl Jiménez,1,0.93,0.644000015258789,0.09471102803945541,MissedShots,LeftFoot,OpenPlay,a,2025
638429,28780,5596,Harry Wilson,42,0.965999984741211,0.385,0.04193772003054619,MissedShots,Head,OpenPlay,a,2025
638430,28780,12410,Joshua King,47,0.960999984741211,0.644000015258789,0.09185106307268143,SavedShot,LeftFoot,OpenPlay,a,2025
638431,28780,4105,Raúl Jiménez,47,0.975999984741211,0.575,0.15028366446495056,MissedShots,RightFoot,OpenPlay,a,2025
638433,28780,500,Alex Iwobi,57,0.7390000152587891,0.765,0.01406861376017332,MissedShots,RightFoot,OpenPlay,a,2025
638438,28780,7230,Emile Smith-Rowe,95,0.7969999694824219,0.57,0.03846864774823189,BlockedShot,RightFoot,OpenPlay,a,2025
638439,28780,10717,Rodrigo Muniz,96,0.9490000152587891,0.5790000152587891,0.48536622524261475,Goal,LeftFoot,FromCorner,a,2025
637686,28781,9767,Habib Diarra,5,0.895,0.3340000152587891,0.30460771918296814,SavedShot,RightFoot,OpenPlay,h,2025
