understat_match_id,season,datetime,home_team,away_team,home_team_id,away_team_id,home_goals,away_goals,home_xg,away_xg
29844,2025,2025-08-23 16:30:00,Genoa,Lecce,101,243,0,0,0.56563,0.55094
29845,2025,2025-08-23 16:30:00,Sassuolo,Napoli,104,105,0,2,0.298477,1.55456
29846,2025,2025-08-23 18:45:00,AC Milan,Cremonese,111,272,1,2,2.08498,0.363576
29847,2025,2025-08-23 18:45:00,Roma,Bologna,95,97,1,0,1.47691,0.443508
29848,2025,2025-08-24 16:30:00,Cagliari,Fiorentina,116,110,1,1,1.51736,1.14261
29849,2025,2025-08-24 16:30:00,Como,Lazio,286,96,2,0,1.28478,0.202984
29850,2025,2025-08-24 18:45:00,Atalanta,Pisa,107,291,1,1,2.04697,1.02901
29851,2025,2025-08-24 18:45:00,Juventus,Parma Calcio 1913,98,230,2,0,2.74202,0.815567
29852,2025,2025-08-25 16:30:00,Udinese,Verona,99,94,1,1,1.05058,0.799203
29853,2025,2025-08-25 18:45:00,Inter,Torino,106,113,5,0,2.60956,0.816232
29854,2025,2025-08-29 16:30:00,Cremonese,Sassuolo,272,104,3,2,3.52949,1.32978
29855,2025,2025-08-29 18:45:00,Lecce,AC Milan,243,111,0,2,0.481693,2.13175
29856,2025,2025-08-30 16:30:00,Bologna,Como,97,286,1,0,1.51584,0.521585
29857,2025,2025-08-30 16:30:00,Parma Calcio 1913,Atalanta,230,107,1,1,0.751112,1.19727
29858,2025,2025-08-30 18:45:00,Pisa,Roma,291,95,0,1,0.6627,0.953921
29859,2025,2025-08-30 18:45:00,Napoli,Cagliari,105,116,1,0,1.73158,0.64413
29860,2025,2025-08-31 16:30:00,Genoa,Juventus,101,98,0,1,0.593013,1.55128
29861,2025,2025-08-31 16:30:00,Torino,Fiorentina,113,110,0,0,1.05012,1.18859
29862,2025,2025-08-31 18:45:00,Inter,Udinese,106,99,1,2,1.67172,1.20014
29863,2025,2025-08-31 18:45:00,Lazio,Verona,96,94,4,0,3.96645,0.600485
29864,2025,2025-09-13 13:00:00,Cagliari,Parma Calcio 1913,116,230,2,0,1.76945,1.95549
29865,2025,2025-09-13 16:00:00,Juventus,Inter,98,106,4,3,0.768943,1.01628
29866,2025,2025-09-13 18:45:00,Fiorentina,Napoli,110,105,1,3,1.39098,3.55376
29867,2025,2025-09-14 10:30:00,Roma,Torino,95,113,0,1,1.02943,0.805089
29868,2025,2025-09-14 13:00:00,Pisa,Udinese,291,99,0,1,1.27587,1.72902
29869,2025,2025-09-14 13:00:00,Atalanta,Lecce,107,243,4,1,2.62415,0.532382
29870,2025,2025-09-14 16:00:00,Sassuolo,Lazio,104,96,1,0,1.2156,0.858246
29871,2025,2025-09-14 18:45:00,AC Milan,Bologna,111,97,1,0,1.15538,0.198634
29872,2025,2025-09-15 16:30:00,Verona,Cremonese,94,272,0,0,1.8883,0.166346
29873,2025,2025-09-15 18:45:00,Como,Genoa,286,101,1,1,1.56467,2.54288
29882,2025,2025-09-19 18:45:00,Lecce,Cagliari,243,116,1,2,1.13998,2.21034
29877,2025,2025-09-20 13:00:00,Bologna,Genoa,97,101,2,1,1.78786,0.794732
29876,2025,2025-09-20 16:00:00,Verona,Juventus,94,98,1,1,1.65885,0.470357
29875,2025,2025-09-20 18:45:00,Udinese,AC Milan,99,111,0,3,0.298364,1.70251
29881,2025,2025-09-21 10:30:00,Lazio,Roma,96,95,0,1,0.666967,1.22639
29874,2025,2025-09-21 13:00:00,Torino,Atalanta,113,107,0,3,1.31336,1.67723
29878,2025,2025-09-21 13:00:00,Cremonese,Parma Calcio 1913,272,230,0,0,0.172561,0.902031
29879,2025,2025-09-21 16:00:00,Fiorentina,Como,110,286,1,2,0.424904,2.09507
29880,2025,2025-09-21 18:45:00,Inter,Sassuolo,106,104,2,1,3.12186,0.850824
29883,2025,2025-09-22 18:45:00,Napoli,Pisa,105,291,3,2,1.18611,2.51985
29885,2025,2025-09-27 13:00:00,Como,Cremonese,286,272,1,1,1.44033,0.564557
29887,2025,2025-09-27 16:00:00,Juventus,Atalanta,98,107,1,1,1.84242,0.885278
29884,2025,2025-09-27 18:45:00,Cagliari,Inter,116,106,0,2,0.475174,3.95419
29893,2025,2025-09-28 10:30:00,Sassuolo,Udinese,104,99,3,1,2.31332,1.19344
29891,2025,2025-09-28 13:00:00,Pisa,Fiorentina,291,110,0,0,0.580471,0.840093
