understat_shot_id,understat_match_id,understat_player_id,player_name,minute,x,y,xg,result,shot_type,situation,side,season
638968,29844,13873,Nicolae Stanciu,31,0.8980000305175782,0.6419999694824219,0.11245568096637726,MissedShots,LeftFoot,OpenPlay,h,2025
638970,29844,11080,Valentín Carboni,41,0.845,0.47299999237060547,0.33989638090133667,SavedShot,LeftFoot,OpenPlay,h,2025
638972,29844,13873,Nicolae Stanciu,51,0.7519999694824219,0.3970000076293945,0.019741438329219818,BlockedShot,LeftFoot,OpenPlay,h,2025
638974,29844,5133,Aarón Martín,64,0.8109999847412109,0.725999984741211,0.02128705009818077,SavedShot,LeftFoot,OpenPlay,h,2025
638975,29844,13873,Nicolae Stanciu,81,0.8130000305175781,0.29100000381469726,0.07224913686513901,MissedShots,RightFoot,DirectFreekick,h,2025
638964,29844,8895,Tete Morente,0,0.7569999694824219,0.49700000762939456,0.02161072939634323,BlockedShot,RightFoot,OpenPlay,a,2025
638965,29844,8895,Tete Morente,3,0.8809999847412109,0.6220000076293946,0.06776215136051178,BlockedShot,RightFoot,OpenPlay,a,2025
638966,29844,13395,Danilo Veiga,4,0.9480000305175781,0.625999984741211,0.02289319783449173,BlockedShot,Head,FromCorner,a,2025
638967,29844,7628,Lameck Banda,27,0.7930000305175782,0.7290000152587891,0.017426690086722374,BlockedShot,RightFoot,OpenPlay,a,2025
638969,29844,8009,Antonino Gallo,34,0.955999984741211,0.6630000305175782,0.3146088421344757,MissedShots,LeftFoot,OpenPlay,a,2025
638971,29844,12218,Francesco Camarda,45,0.8959999847412109,0.5870000076293945,0.04170352593064308,MissedShots,Head,OpenPlay,a,2025
638973,29844,8895,Tete Morente,56,0.905,0.46,0.06493531912565231,MissedShots,Head,FromCorner,a,2025
638981,29845,11023,Josh Doig,42,0.8640000152587891,0.805,0.038617439568042755,SavedShot,LeftFoot,OpenPlay,h,2025
638984,29845,1612,Domenico Berardi,52,0.904000015258789,0.7230000305175781,0.03784015402197838,MissedShots,LeftFoot,OpenPlay,h,2025
638990,29845,13879,Tarik Muharemovic,64,0.7319999694824219,0.6459999847412109,0.007192031946033239,SavedShot,LeftFoot,OpenPlay,h,2025
638991,29845,11930,Daniel Boloca,71,0.769000015258789,0.669000015258789,0.020748255774378777,MissedShots,RightFoot,OpenPlay,h,2025
